"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018"
"13171","Lamar, GA",31106,32395,33079
"13173","Lanier, GA",25133,26281,27561
"13175","Laurens, GA",34652,35528,37372
"13177","Lee, GA",43544,45415,47258
"13179","Liberty, GA",33183,34163,35805
"13181","Lincoln, GA",34481,35936,37333
"13183","Long, GA",26099,26268,27071
"13185","Lowndes, GA",34869,35817,37443
"13187","Lumpkin, GA",34628,35288,37427
"13189","McDuffie, GA",34013,35656,36982
"13191","McIntosh, GA",28014,28377,29519
"13193","Macon, GA",28341,30237,31028
"13195","Madison, GA",33761,35261,36557
"13197","Marion, GA",26862,28317,29333
"13199","Meriwether, GA",32739,33285,34847
"13201","Miller, GA",36026,38229,40826
"13205","Mitchell, GA",32307,33964,35069
"13207","Monroe, GA",41767,43106,44790
"13209","Montgomery, GA",28834,28562,29408
"13211","Morgan, GA",45564,48982,50541
"13213","Murray, GA",28105,28986,29968
"13215","Muscogee, GA",40718,42083,44149
"13217","Newton, GA",31601,32456,33750
"13219","Oconee, GA",60296,64194,66740
"13221","Oglethorpe, GA",35391,36456,37709
"13223","Paulding, GA",35196,36276,37727
"13225","Peach, GA",35668,37173,38066
"13227","Pickens, GA",44457,45890,47887
"13229","Pierce, GA",33494,34908,36065
"13231","Pike, GA",37636,38423,39851
"13233","Polk, GA",30779,31150,32368
"13235","Pulaski, GA",28017,29034,30358
"13237","Putnam, GA",38731,40236,41839
"13239","Quitman, GA",27893,28699,30902
"13241","Rabun, GA",38505,39632,41128
"13243","Randolph, GA",28739,31453,33238
"13245","Richmond, GA",35032,36820,38196
"13247","Rockdale, GA",33440,33842,35244
"13249","Schley, GA",28610,29949,30931
"13251","Screven, GA",31699,33079,35010
"13253","Seminole, GA",38009,39963,40217
"13255","Spalding, GA",32904,33422,34772
"13257","Stephens, GA",36908,37831,38915
"13259","Stewart, GA",21153,21665,22771
"13261","Sumter, GA",32738,34522,35847
"13263","Talbot, GA",32396,33643,34504
"13265","Taliaferro, GA",32218,32719,33927
"13267","Tattnall, GA",26339,27812,28406
"13269","Taylor, GA",31322,29253,30141
"13271","Telfair, GA",19869,20338,20923
"13273","Terrell, GA",37009,38110,40325
"13275","Thomas, GA",40280,42097,44355
"13277","Tift, GA",35361,36148,37805
"13279","Toombs, GA",33720,33992,35517
"13281","Towns, GA",34874,35901,37858
"13283","Treutlen, GA",28097,29216,30119
"13285","Troup, GA",34884,34951,36476
"13287","Turner, GA",31706,33212,34396
"13289","Twiggs, GA",35817,37784,39530
"13291","Union, GA",34304,35166,36581
"13293","Upson, GA",33478,33922,35133
"13295","Walker, GA",30929,31704,32826
"13297","Walton, GA",37355,39022,40458
"13299","Ware, GA",31917,32763,33906
"13301","Warren, GA",32297,33231,34598
"13303","Washington, GA",32836,34386,35296
"13305","Wayne, GA",28970,30164,31954
"13307","Webster, GA",30591,32211,33109
"13309","Wheeler, GA",18257,19010,19631
"13311","White, GA",32388,33680,34961
"13313","Whitfield, GA",36201,37278,38752
"13315","Wilcox, GA",24278,26014,26712
"13317","Wilkes, GA",37483,38339,39472
"13319","Wilkinson, GA",33883,34285,35204
"13321","Worth, GA",31071,32540,34380
"Legend / Footnotes:"
"2/ Per capita personal income was computed using Census Bureau midyear population estimates. Estimates for 2010-2018 reflect county population estimates available as of March 2019."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018."
"Note-- All dollar estimates are in thousands of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 1969-2017."
